### Module positions - created on 2022-01-06 18:32
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
`~1           MX-NoLED            SW_Hotswap_Kailh_1.00u        -14.0000   128.0000   -21.0850   130.5400      0.0    top       SMD
]1            MX-NoLED            SW_Hotswap_Kailh_1.00u        236.7500   107.5000   229.6650   110.0400      0.0    top       SMD
\1            MX-NoLED            SW_Hotswap_Kailh_1.00u        256.0000   107.5000   248.9150   110.0400      0.0    top       SMD
[1            MX-NoLED            SW_Hotswap_Kailh_1.00u        217.2500   107.5000   210.1650   110.0400      0.0    top       SMD
Z1            MX-NoLED            SW_Hotswap_Kailh_1.00u        23.0000    67.0000    15.9150    69.5400       0.0    top       SMD
Y1            MX-NoLED            SW_Hotswap_Kailh_1.00u        121.0000   108.7500   113.9150   111.2900      0.0    top       SMD
X1            MX-NoLED            SW_Hotswap_Kailh_1.00u        44.7500    68.0000    37.6650    70.5400       0.0    top       SMD
WIN1          MX-NoLED            SW_Hotswap_Kailh_1.00u        16.2500    44.0000    9.1650     46.5400       0.0    top       SMD
W1            MX-NoLED            SW_Hotswap_Kailh_1.00u        43.0000    108.5000   35.9150    111.0400      0.0    top       SMD
V1            MX-NoLED            SW_Hotswap_Kailh_1.00u        84.7500    68.0000    77.6650    70.5400       0.0    top       SMD
UP1           MX-NoLED            SW_Hotswap_Kailh_1.00u        282.7500   48.5000    275.6650   51.0400       0.0    top       SMD
U1            MX-NoLED            SW_Hotswap_Kailh_1.00u        141.0000   107.5000   133.9150   110.0400      0.0    top       SMD
TAB1          MX-NoLED            SW_Hotswap_Kailh_1.00u        -4.7500    109.0000   -11.8350   111.5400      0.0    top       SMD
T1            MX-NoLED            SW_Hotswap_Kailh_1.00u        100.0000   107.7500   92.9150    110.2900      0.0    top       SMD
SPACE1        MX-NoLED            SW_Hotswap_Kailh_1.00u        109.0000   44.2500    101.9150   46.7900       0.0    top       SMD
S1            MX-NoLED            SW_Hotswap_Kailh_1.00u        44.5000    88.7500    37.4150    91.2900       0.0    top       SMD
R_SHIFT1      MX-NoLED            SW_Hotswap_Kailh_1.00u        243.0000   68.0000    235.9150   70.5400       0.0    top       SMD
RIGHT1        MX-NoLED            SW_Hotswap_Kailh_1.00u        301.7500   29.5000    294.6650   32.0400       0.0    top       SMD
R1            MX-NoLED            SW_Hotswap_Kailh_1.00u        84.0000    108.2500   76.9150    110.7900      0.0    top       SMD
Q1            MX-NoLED            SW_Hotswap_Kailh_1.00u        19.5000    108.2500   12.4150    110.7900      0.0    top       SMD
P1            MX-NoLED            SW_Hotswap_Kailh_1.00u        198.0000   107.5000   190.9150   110.0400      0.0    top       SMD
OPT5          MX-NoLED            SW_Hotswap_Kailh_1.00u        305.5000   73.0000    298.4150   75.5400       0.0    top       SMD
OPT4          MX-NoLED            SW_Hotswap_Kailh_1.00u        305.5000   92.2500    298.4150   94.7900       0.0    top       SMD
OPT3          MX-NoLED            SW_Hotswap_Kailh_1.00u        305.5000   111.2500   298.4150   113.7900      0.0    top       SMD
OPT2          MX-NoLED            SW_Hotswap_Kailh_1.00u        305.2500   130.5000   298.1650   133.0400      0.0    top       SMD
OPT1          MX-NoLED            SW_Hotswap_Kailh_1.00u        306.0000   161.5000   298.9150   164.0400      0.0    top       SMD
O1            MX-NoLED            SW_Hotswap_Kailh_1.00u        160.5000   107.7500   153.4150   110.2900      0.0    top       SMD
N1            MX-NoLED            SW_Hotswap_Kailh_1.00u        136.2500   67.2500    129.1650   69.7900       0.0    top       SMD
MX10          MX-NoLED            SW_Hotswap_Kailh_1.00u        180.5000   129.5000   173.4150   132.0400      0.0    top       SMD
MX9           MX-NoLED            SW_Hotswap_Kailh_1.00u        163.5000   129.0000   156.4150   131.5400      0.0    top       SMD
MX8           MX-NoLED            SW_Hotswap_Kailh_1.00u        144.0000   129.0000   136.9150   131.5400      0.0    top       SMD
MX7           MX-NoLED            SW_Hotswap_Kailh_1.00u        124.2500   129.2500   117.1650   131.7900      0.0    top       SMD
MX6           MX-NoLED            SW_Hotswap_Kailh_1.00u        104.5000   129.2500   97.4150    131.7900      0.0    top       SMD
MX5           MX-NoLED            SW_Hotswap_Kailh_1.00u        85.0000    129.5000   77.9150    132.0400      0.0    top       SMD
MX4           MX-NoLED            SW_Hotswap_Kailh_1.00u        63.5000    129.2500   56.4150    131.7900      0.0    top       SMD
MX3           MX-NoLED            SW_Hotswap_Kailh_1.00u        43.2500    129.0000   36.1650    131.5400      0.0    top       SMD
MX2           MX-NoLED            SW_Hotswap_Kailh_1.00u        24.2500    128.7500   17.1650    131.2900      0.0    top       SMD
MX1           MX-NoLED            SW_Hotswap_Kailh_1.00u        4.7500     128.7500   -2.3350    131.2900      0.0    top       SMD
M1            MX-NoLED            SW_Hotswap_Kailh_1.00u        157.7500   67.0000    150.6650   69.5400       0.0    top       SMD
L_SHIFT1      MX-NoLED            SW_Hotswap_Kailh_1.00u        -5.5000    68.2500    -12.5850   70.7900       0.0    top       SMD
LEFT1         MX-NoLED            SW_Hotswap_Kailh_1.00u        263.7500   29.5000    256.6650   32.0400       0.0    top       SMD
L1            MX-NoLED            SW_Hotswap_Kailh_1.00u        176.7500   87.2500    169.6650   89.7900       0.0    top       SMD
K1            MX-NoLED            SW_Hotswap_Kailh_1.00u        156.2500   88.0000    149.1650   90.5400       0.0    top       SMD
J1            MX-NoLED            SW_Hotswap_Kailh_1.00u        139.2500   88.2500    132.1650   90.7900       0.0    top       SMD
I1            MX-NoLED            SW_Hotswap_Kailh_1.00u        178.5000   107.7500   171.4150   110.2900      0.0    top       SMD
H1            MX-NoLED            SW_Hotswap_Kailh_1.00u        122.5000   88.0000    115.4150   90.5400       0.0    top       SMD
G1            MX-NoLED            SW_Hotswap_Kailh_1.00u        102.5000   89.0000    95.4150    91.5400       0.0    top       SMD
FN1           MX-NoLED            SW_Hotswap_Kailh_1.00u        205.5000   46.5000    198.4150   49.0400       0.0    top       SMD
F13           MX-NoLED            SW_Hotswap_Kailh_1.00u        83.2500    88.7500    76.1650    91.2900       0.0    top       SMD
F12           MX-NoLED            SW_Hotswap_Kailh_1.00u        231.7500   160.7500   224.6650   163.2900      0.0    top       SMD
F11           MX-NoLED            SW_Hotswap_Kailh_1.00u        212.7500   160.7500   205.6650   163.2900      0.0    top       SMD
F10           MX-NoLED            SW_Hotswap_Kailh_1.00u        192.7500   161.0000   185.6650   163.5400      0.0    top       SMD
F9            MX-NoLED            SW_Hotswap_Kailh_1.00u        172.5000   161.0000   165.4150   163.5400      0.0    top       SMD
F8            MX-NoLED            SW_Hotswap_Kailh_1.00u        147.5000   161.5000   140.4150   164.0400      0.0    top       SMD
F7            MX-NoLED            SW_Hotswap_Kailh_1.00u        127.7500   162.2500   120.6650   164.7900      0.0    top       SMD
F6            MX-NoLED            SW_Hotswap_Kailh_1.00u        108.0000   161.7500   100.9150   164.2900      0.0    top       SMD
F5            MX-NoLED            SW_Hotswap_Kailh_1.00u        87.2500    162.2500   80.1650    164.7900      0.0    top       SMD
